Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
3722,ZINC000748675023_docked,C[C@H](OC(=O)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1)c1ccc(C#N)cc1,-9.18,ZINC000748675023_docked.dlg,True
3723,ZINC000298988782_docked,CCC1CCN(C(=O)c2ccc(C)c(S(C)(=O)=O)c2)CC1,-9.18,ZINC000298988782_docked.dlg,True
3724,ZINC000839057329_docked,CS(=O)(=O)c1ccc(C(=O)O[C@@H]2CCC[C@@H](C#N)C2)cc1Br,-9.18,ZINC000839057329_docked.dlg,True
3725,ZINC000155590655_docked,CS(=O)(=O)c1cc(SCc2ccc(F)cc2C#N)ccc1[N+](=O)[O-],-9.18,ZINC000155590655_docked.dlg,True
3726,ZINC000157646584_docked,C[C@@H](c1ccccc1)N1CCC(NS(=O)(=O)c2ccc(F)cc2C#N)CC1,-9.18,ZINC000157646584_docked.dlg,True
3727,ZINC000176770534_docked,CCCN(C[C@H]1COc2ccccc2O1)S(=O)(=O)c1ccc(F)cc1C#N,-9.18,ZINC000176770534_docked.dlg,True
3728,ZINC001661430935_docked,Cc1ccc(Oc2ccccc2CNS(=O)(=O)c2ccc(C)cc2F)cc1,-9.18,ZINC001661430935_docked.dlg,True
3729,ZINC000443027797_docked,C[C@H]1CCC[C@@H](CNS(=O)(=O)c2ccc(F)cc2C#N)C1,-9.18,ZINC000443027797_docked.dlg,True
3730,ZINC000245667715_docked,CN1CC[C@@H](NS(=O)(=O)c2ccc(F)cc2C#N)[C@H]1c1ccccc1,-9.18,ZINC000245667715_docked.dlg,True
3731,ZINC000818982604_docked,CS(=O)(=O)c1ccc([C@H](O)CN[C@H]2C[C@H]2c2cccc(F)c2)cc1,-9.18,ZINC000818982604_docked.dlg,True
3732,ZINC000808722451_docked,COc1cc([C@@H](C)N[C@@H](c2ccccc2)[C@H](O)c2ccccc2)ccc1S(C)(=O)=O,-9.18,ZINC000808722451_docked.dlg,True
3733,ZINC000155510379_docked,CS(=O)(=O)c1ccc(C(=O)N[C@@H](CO)c2ccccc2)cc1Br,-9.18,ZINC000155510379_docked.dlg,True
3734,ZINC000751348444_docked,Cc1ccc(S(C)(=O)=O)cc1S(=O)(=O)N1CCC([C@@H](O)c2ccc(F)cc2)CC1,-9.18,ZINC000751348444_docked.dlg,True
3735,ZINC001198779454_docked,COc1cc([C@H](C)N[C@@H]2C[C@@H]2c2cccc(F)c2)ccc1S(C)(=O)=O,-9.18,ZINC001198779454_docked.dlg,True
3736,ZINC000809208326_docked,C[C@H](NC(=O)C1(c2cc(F)cc(C#N)c2)CC1)[C@H](O)c1ccccc1,-9.18,ZINC000809208326_docked.dlg,True
3737,ZINC000272922844_docked,CC(=O)c1ccc(S(C)(=O)=O)c(N2CC[C@@H](C3CCN(C)CC3)C2)c1,-9.18,ZINC000272922844_docked.dlg,True
3738,ZINC001474844953_docked,CC[C@H](CNS(=O)(=O)c1ccc(F)cc1C#N)Oc1cccc(C)c1,-9.18,ZINC001474844953_docked.dlg,True
