Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
192,ZINC000000006118_docked,N/A,-6.850,ZINC000000006118_docked.dlg,True
193,ZINC000000000997_docked,N/A,-6.840,ZINC000000000997_docked.dlg,True
194,ZINC000000001553_docked,N/A,-6.830,ZINC000000001553_docked.dlg,True
195,ZINC000000001935_docked,N/A,-6.830,ZINC000000001935_docked.dlg,True
196,ZINC000000000453_docked,N/A,-6.830,ZINC000000000453_docked.dlg,True
197,ZINC000000008082_docked,N/A,-6.820,ZINC000000008082_docked.dlg,True
198,ZINC000000002121_docked,N/A,-6.820,ZINC000000002121_docked.dlg,True
199,ZINC000000003699_docked,N/A,-6.810,ZINC000000003699_docked.dlg,True
200,ZINC000000001061_docked,N/A,-6.810,ZINC000000001061_docked.dlg,True
201,ZINC000000000546_docked,N/A,-6.790,ZINC000000000546_docked.dlg,True
202,ZINC000000001071_docked,N/A,-6.760,ZINC000000001071_docked.dlg,True
203,ZINC000000000935_docked,N/A,-6.760,ZINC000000000935_docked.dlg,True
204,ZINC000000001021_docked,N/A,-6.730,ZINC000000001021_docked.dlg,True
205,ZINC000000002248_docked,N/A,-6.730,ZINC000000002248_docked.dlg,True
206,ZINC000000004810_docked,N/A,-6.720,ZINC000000004810_docked.dlg,False
207,ZINC000000004293_docked,N/A,-6.710,ZINC000000004293_docked.dlg,True
208,ZINC000000008974_docked,N/A,-6.710,ZINC000000008974_docked.dlg,True
209,ZINC000000004714_docked,N/A,-6.710,ZINC000000004714_docked.dlg,True
210,ZINC000000001853_docked,N/A,-6.700,ZINC000000001853_docked.dlg,True
211,ZINC000000002152_docked,N/A,-6.680,ZINC000000002152_docked.dlg,True
212,ZINC000000000984_docked,N/A,-6.680,ZINC000000000984_docked.dlg,True
213,ZINC000000003771_docked,N/A,-6.670,ZINC000000003771_docked.dlg,True
214,ZINC000000001738_docked,N/A,-6.670,ZINC000000001738_docked.dlg,True
215,ZINC000000008650_docked,N/A,-6.660,ZINC000000008650_docked.dlg,True
216,ZINC000000007754_docked,N/A,-6.660,ZINC000000007754_docked.dlg,True
217,ZINC000000006514_docked,N/A,-6.650,ZINC000000006514_docked.dlg,True
218,ZINC000000001301_docked,N/A,-6.640,ZINC000000001301_docked.dlg,True
219,ZINC000000003266_docked,N/A,-6.620,ZINC000000003266_docked.dlg,True
220,ZINC000000004590_docked,N/A,-6.620,ZINC000000004590_docked.dlg,True
221,ZINC000000003885_docked,N/A,-6.610,ZINC000000003885_docked.dlg,True
222,ZINC000000005293_docked,N/A,-6.590,ZINC000000005293_docked.dlg,True
223,ZINC000000000385_docked,N/A,-6.590,ZINC000000000385_docked.dlg,True
224,ZINC000000000296_docked,N/A,-6.580,ZINC000000000296_docked.dlg,True
225,ZINC000000008076_docked,N/A,-6.570,ZINC000000008076_docked.dlg,True
