Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
48,ZINC000067433578_docked,Cc1ccc(S(C)(=O)=O)cc1S(=O)(=O)N[C@@H]1C[C@H]1c1cccc(F)c1,-10.67,ZINC000067433578_docked.dlg,TRUE
49,ZINC000059920427_docked,CS(=O)(=O)c1cc(C(=O)Nc2ccccc2Oc2cccc(F)c2)ccc1Cl,-10.67,ZINC000059920427_docked.dlg,TRUE
50,ZINC000443023637_docked,N#Cc1cc(F)ccc1S(=O)(=O)NCC1CCN(S(=O)(=O)c2ccccc2)CC1,-10.66,ZINC000443023637_docked.dlg,TRUE
51,ZINC000751262031_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)NC[C@@H](O)c2cccc(F)c2)c1,-10.66,ZINC000751262031_docked.dlg,TRUE
52,ZINC000443930696_docked,Cc1ccc(CNS(=O)(=O)Cc2cc(C#N)ccc2F)cc1S(C)(=O)=O,-10.65,ZINC000443930696_docked.dlg,TRUE
53,ZINC000452068886_docked,C[C@H]1CCC[C@H]([C@H](C)NS(=O)(=O)Cc2ccc(F)cc2C#N)C1,-10.64,ZINC000452068886_docked.dlg,TRUE
54,ZINC000549910981_docked,N#Cc1cc(F)ccc1S(=O)(=O)NC[C@H]1CN(Cc2ccccc2)CC12CCOCC2,-10.64,ZINC000549910981_docked.dlg,TRUE
55,ZINC000557372927_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)N[C@@H]2C[C@@H]2c2cccc(F)c2)c1,-10.64,ZINC000557372927_docked.dlg,TRUE
56,ZINC000443321657_docked,N#Cc1cc(F)ccc1S(=O)(=O)N[C@@H]1CC(=O)N([C@H]2C[C@H]2c2ccccc2)C1,-10.63,ZINC000443321657_docked.dlg,TRUE
57,ZINC000443027849_docked,Cc1ccc([C@H](CNS(=O)(=O)c2ccc(F)cc2C#N)N2CCCC2)cc1,-10.63,ZINC000443027849_docked.dlg,TRUE
58,ZINC000610349333_docked,C[C@H](NC(=O)N[C@@H]1C[C@@H]1c1cccc(F)c1)c1cccc(C#N)c1,-10.62,ZINC000610349333_docked.dlg,TRUE
59,ZINC000500691728_docked,C[C@H]1CN(Cc2ccccc2CNS(=O)(=O)Cc2cc(C#N)ccc2F)C[C@H](C)O1,-10.61,ZINC000500691728_docked.dlg,TRUE
60,ZINC000611016143_docked,N#Cc1cc(F)ccc1S(=O)(=O)NC[C@H]1CCCN(Cc2ccccc2)C1,-10.6,ZINC000611016143_docked.dlg,TRUE
61,ZINC000482471257_docked,CS(=O)(=O)c1ccc(C(=O)NC2(Cc3cccc(F)c3)CCC2)cc1Br,-10.6,ZINC000482471257_docked.dlg,TRUE
62,ZINC000443944849_docked,Cc1ccc(CNS(=O)(=O)c2cc(C#N)ccc2C)cc1S(C)(=O)=O,-10.6,ZINC000443944849_docked.dlg,TRUE
63,ZINC000915125190_docked,CS(=O)(=O)c1ccccc1CCNC(=O)N[C@@H]1C[C@@H]1c1cccc(F)c1,-10.59,ZINC000915125190_docked.dlg,FALSE
