Ligand Number	Confidence Score
40610	0.6826
6869	0.6824
2956	0.6823
33517	0.6821
9861	0.6820
29452	0.6819
23073	0.6811
24881	0.6811
30031	0.6810
12937	0.6808
7988	0.6800
40470	0.6798
1864	0.6795
1672	0.6794
23410	0.6793
9719	0.6790
28714	0.6788
33131	0.6787
17265	0.6786
18404	0.6785
11988	0.6785
36069	0.6783
11139	0.6782
11194	0.6780
16114	0.6777
18398	0.6774
8332	0.6773
20041	0.6773
11727	0.6771
15464	0.6770
40583	0.6769
18498	0.6768
6845	0.6767
17398	0.6763
5896	0.6763
10471	0.6752
28007	0.6752
11700	0.6751
12085	0.6749
5765	0.6749
38423	0.6749
2786	0.6748
13224	0.6746
6868	0.6742
30505	0.6734
30985	0.6734
24783	0.6734
22742	0.6734
36184	0.6733
1607	0.6733
16630	0.6731
37085	0.6731
32161	0.6731
13264	0.6728
29150	0.6727
39868	0.6724
37523	0.6723
4754	0.6720
13070	0.6720
38618	0.6719
6708	0.6718
17959	0.6717
25562	0.6716
2444	0.6716
11761	0.6714
32431	0.6713
3004	0.6711
5927	0.6704
14029	0.6701
27275	0.6699
8012	0.6696
4144	0.6692
11074	0.6692
15554	0.6689
34153	0.6689
3372	0.6686
37833	0.6686
16019	0.6683
14001	0.6682
30001	0.6681
12282	0.6678
1868	0.6677
7596	0.6674
7757	0.6673
25462	0.6672
23838	0.6671
1758	0.6668
27517	0.6665
19749	0.6664
30595	0.6664
34771	0.6662
33455	0.6662
12318	0.6661
24503	0.6661
36664	0.6657
6187	0.6656
7412	0.6655
6346	0.6653
3578	0.6653
20472	0.6652
5626	0.6651
22262	0.6646
30242	0.6644
478	0.6643
27783	0.6643
29763	0.6643
25547	0.6642
14110	0.6638
23400	0.6636
9788	0.6636
27284	0.6631
19259	0.6630
5556	0.6629
21218	0.6626
3416	0.6624
24431	0.6624
26562	0.6622
16498	0.6622
18438	0.6619
38536	0.6616
18262	0.6615
3202	0.6613
2796	0.6613
19012	0.6613
36210	0.6613
6279	0.6609
13584	0.6607
30657	0.6607
29411	0.6607
3981	0.6602
3613	0.6600
18502	0.6600
4956	0.6598
35518	0.6597
12868	0.6595
40934	0.6595
32169	0.6594
5899	0.6592
18752	0.6588
9208	0.6587
8558	0.6583
33331	0.6582
22993	0.6580
3014	0.6580
15660	0.6580
36929	0.6579
21496	0.6579
198	0.6578
10324	0.6578
6594	0.6577
37158	0.6576
39515	0.6571
17454	0.6570
6364	0.6569
2112	0.6566
8360	0.6564
36796	0.6563
3380	0.6560
22955	0.6559
18592	0.6558
29735	0.6557
16305	0.6557
19455	0.6554
14489	0.6554
32218	0.6553
38747	0.6553
26886	0.6552
19060	0.6551
21299	0.6550
29000	0.6547
29075	0.6545
15629	0.6545
40256	0.6543
27041	0.6542
2102	0.6542
34645	0.6540
38169	0.6538
9713	0.6538
36732	0.6536
1081	0.6534
29008	0.6531
19013	0.6528
10510	0.6528
7280	0.6527
5007	0.6527
38498	0.6526
17987	0.6525
30711	0.6524
6876	0.6523
30048	0.6521
28087	0.6518
37955	0.6516
36094	0.6514
19398	0.6514
25390	0.6514
1900	0.6513
15491	0.6510
33389	0.6506
18400	0.6505
160	0.6500
245	0.6499
9756	0.6499
31015	0.6496
11695	0.6491
19556	0.6491
20212	0.6490
18533	0.6489
16759	0.6489
5441	0.6488
26633	0.6488
4524	0.6488
7264	0.6485
10415	0.6485
19326	0.6482
28796	0.6482
25891	0.6481
15325	0.6479
32138	0.6478
12719	0.6476
36927	0.6475
20370	0.6473
35059	0.6472
29293	0.6470
27133	0.6469
8251	0.6467
7254	0.6466
13912	0.6465
15597	0.6464
34273	0.6463
22960	0.6462
30019	0.6462
6705	0.6461
2699	0.6460
27552	0.6458
9674	0.6458
24072	0.6458
2272	0.6457
22592	0.6455
22621	0.6454
18126	0.6454
23281	0.6454
1083	0.6453
2461	0.6453
27263	0.6451
34591	0.6449
27805	0.6447
1571	0.6447
6138	0.6444
37428	0.6443
12380	0.6442
23187	0.6442
13773	0.6438
28518	0.6437
39771	0.6436
30438	0.6433
13469	0.6433
33367	0.6432
39081	0.6431
6217	0.6429
9567	0.6428
37570	0.6428
19523	0.6427
36699	0.6427
11022	0.6424
23093	0.6424
16255	0.6423
7582	0.6422
16055	0.6419
40113	0.6416
18909	0.6415
9019	0.6415
32037	0.6414
3853	0.6414
30703	0.6411
10291	0.6410
9087	0.6409
8812	0.6406
18619	0.6405
35541	0.6405
10090	0.6404
40917	0.6404
34186	0.6403
37301	0.6403
12790	0.6402
28131	0.6400
34644	0.6400
18198	0.6399
8514	0.6398
8607	0.6398
37272	0.6397
14543	0.6397
15855	0.6396
33060	0.6396
7213	0.6392
28274	0.6389
25468	0.6388
11688	0.6388
40482	0.6388
282	0.6387
7483	0.6385
27996	0.6385
25943	0.6384
25602	0.6383
34769	0.6382
394	0.6381
17329	0.6379
28153	0.6378
38549	0.6377
7876	0.6374
6886	0.6374
27306	0.6374
4390	0.6373
14827	0.6370
32741	0.6369
20694	0.6367
21458	0.6366
36705	0.6365
11692	0.6364
6499	0.6363
38965	0.6362
39337	0.6361
28175	0.6360
7238	0.6360
26764	0.6359
40612	0.6359
12203	0.6357
16033	0.6355
863	0.6353
4411	0.6351
20174	0.6351
37760	0.6349
27596	0.6348
767	0.6346
27664	0.6340
1038	0.6340
39732	0.6338
35041	0.6335
29566	0.6333
29375	0.6332
39677	0.6332
10638	0.6330
29829	0.6329
25797	0.6329
30922	0.6329
6826	0.6327
20100	0.6326
1634	0.6324
24877	0.6322
16133	0.6321
5181	0.6321
27311	0.6320
34482	0.6319
9089	0.6318
33275	0.6317
2033	0.6317
34583	0.6316
3940	0.6315
32558	0.6314
25097	0.6311
40811	0.6311
24780	0.6310
28984	0.6310
17951	0.6309
10436	0.6308
5332	0.6306
5657	0.6306
21546	0.6301
29743	0.6301
28648	0.6298
159	0.6292
16753	0.6292
25514	0.6291
31748	0.6289
10313	0.6289
33546	0.6283
7347	0.6283
19406	0.6282
32194	0.6281
22906	0.6276
10229	0.6274
21136	0.6274
14871	0.6273
6392	0.6272
35293	0.6272
22663	0.6271
804	0.6270
3234	0.6268
36488	0.6268
24704	0.6267
16017	0.6267
9646	0.6267
514	0.6266
9442	0.6266
17534	0.6265
9688	0.6265
21194	0.6264
27722	0.6260
4010	0.6260
17909	0.6260
421	0.6260
29862	0.6259
10035	0.6258
10497	0.6258
17347	0.6258
22808	0.6255
18042	0.6254
4931	0.6252
7752	0.6251
874	0.6250
20943	0.6249
30873	0.6249
9720	0.6248
1254	0.6247
13360	0.6247
37161	0.6246
7413	0.6245
14727	0.6242
23386	0.6242
5947	0.6242
40882	0.6238
7776	0.6236
12982	0.6234
10700	0.6233
24509	0.6228
4267	0.6228
24443	0.6228
38493	0.6227
30745	0.6226
22832	0.6225
36811	0.6225
1762	0.6223
5478	0.6221
36712	0.6221
29401	0.6221
18117	0.6219
36614	0.6218
17327	0.6215
41	0.6214
13368	0.6213
17806	0.6213
24174	0.6213
17647	0.6211
40070	0.6207
29533	0.6206
346	0.6206
26536	0.6205
21916	0.6204
26579	0.6204
26330	0.6203
5096	0.6200
12641	0.6200
28394	0.6200
30250	0.6199
21011	0.6195
11505	0.6194
18811	0.6194
4441	0.6194
29562	0.6193
702	0.6193
4241	0.6192
19192	0.6191
32901	0.6191
22733	0.6188
2304	0.6188
35187	0.6187
24809	0.6186
38346	0.6184
28779	0.6182
28422	0.6182
30844	0.6181
38704	0.6181
16218	0.6181
32647	0.6180
32061	0.6179
24978	0.6174
33429	0.6172
12893	0.6172
11301	0.6169
19080	0.6166
9085	0.6166
22365	0.6164
14561	0.6164
34526	0.6164
21065	0.6163
19111	0.6160
29220	0.6160
27964	0.6159
36121	0.6159
2778	0.6158
11035	0.6157
23036	0.6156
8215	0.6156
34988	0.6155
19424	0.6155
1716	0.6154
36595	0.6152
32571	0.6152
2025	0.6151
11810	0.6150
29090	0.6150
23777	0.6149
33009	0.6148
32956	0.6147
14195	0.6146
32120	0.6145
1822	0.6144
13018	0.6144
27220	0.6143
37859	0.6143
27557	0.6133
24341	0.6133
12031	0.6133
34074	0.6133
6802	0.6132
35531	0.6128
25608	0.6125
24552	0.6123
22734	0.6122
28833	0.6121
11647	0.6120
19759	0.6119
8568	0.6116
3093	0.6115
12216	0.6114
39809	0.6113
40475	0.6113
32923	0.6112
23185	0.6110
12683	0.6108
38099	0.6108
25064	0.6108
24186	0.6106
21375	0.6101
7544	0.6101
31367	0.6101
16496	0.6100
8554	0.6100
13459	0.6099
25623	0.6099
14609	0.6098
4254	0.6098
8407	0.6098
14276	0.6097
9348	0.6095
32419	0.6095
36051	0.6094
31738	0.6093
21074	0.6093
31788	0.6092
31070	0.6091
40652	0.6090
39384	0.6090
27603	0.6089
36191	0.6089
25008	0.6089
28680	0.6088
21637	0.6086
33213	0.6086
11052	0.6085
8955	0.6085
17751	0.6084
6070	0.6083
18014	0.6083
17577	0.6083
7675	0.6081
13238	0.6081
28685	0.6080
16587	0.6079
17961	0.6078
40706	0.6078
21991	0.6075
34011	0.6075
36224	0.6074
18484	0.6073
13635	0.6071
34001	0.6070
32858	0.6069
35570	0.6066
3668	0.6066
18272	0.6066
2299	0.6066
3694	0.6064
1528	0.6063
23063	0.6063
30393	0.6063
3045	0.6063
33444	0.6062
25065	0.6062
25577	0.6060
18495	0.6060
31151	0.6058
1332	0.6058
5965	0.6056
18856	0.6056
34574	0.6055
35722	0.6053
14713	0.6053
26340	0.6053
20947	0.6050
6150	0.6050
30338	0.6049
1214	0.6047
4911	0.6046
32267	0.6046
31541	0.6046
4344	0.6045
10662	0.6045
5059	0.6044
29783	0.6044
10052	0.6044
25781	0.6044
1230	0.6043
34095	0.6042
4111	0.6042
4106	0.6042
6797	0.6041
32753	0.6040
8020	0.6040
13431	0.6039
14359	0.6037
9228	0.6037
11278	0.6037
15151	0.6035
11614	0.6034
16324	0.6032
17436	0.6031
29414	0.6030
13991	0.6027
35520	0.6026
14257	0.6025
26535	0.6021
15240	0.6021
38528	0.6020
8293	0.6020
19670	0.6018
22391	0.6018
13785	0.6017
5861	0.6014
25426	0.6009
14783	0.6009
29408	0.6008
22594	0.6007
21107	0.6007
17575	0.6005
23600	0.6005
13300	0.6005
27003	0.6003
33457	0.6003
18512	0.6003
36149	0.6003
6504	0.6003
11400	0.6002
40887	0.6002
40881	0.6002
7048	0.6001
15745	0.6000
32268	0.6000
26647	0.5995
12332	0.5993
10157	0.5992
15099	0.5991
15728	0.5991
39500	0.5990
36513	0.5988
7402	0.5986
22558	0.5984
38056	0.5983
10337	0.5982
33704	0.5982
7138	0.5982
3520	0.5978
19525	0.5976
30016	0.5974
9987	0.5973
40916	0.5971
21787	0.5970
7512	0.5969
10118	0.5968
26342	0.5966
13383	0.5965
25920	0.5962
29981	0.5960
38742	0.5959
5278	0.5958
33859	0.5958
26555	0.5957
24793	0.5956
4843	0.5953
33789	0.5951
21942	0.5951
18033	0.5950
10435	0.5949
23301	0.5949
9621	0.5948
38367	0.5947
35485	0.5947
24571	0.5946
40074	0.5945
673	0.5945
10478	0.5945
32824	0.5944
6599	0.5943
29516	0.5943
2572	0.5942
34133	0.5941
26070	0.5940
28183	0.5935
38014	0.5933
19128	0.5932
3973	0.5932
38641	0.5931
8004	0.5931
5860	0.5929
6912	0.5928
14675	0.5928
11434	0.5928
39374	0.5926
1360	0.5926
22532	0.5925
34977	0.5925
11197	0.5925
15423	0.5923
39724	0.5923
6505	0.5922
18006	0.5920
19393	0.5920
13263	0.5919
11062	0.5918
5778	0.5918
39893	0.5918
10971	0.5916
17927	0.5915
15890	0.5915
26122	0.5914
27223	0.5913
21453	0.5911
493	0.5911
446	0.5911
29956	0.5909
8359	0.5909
31623	0.5908
7510	0.5906
8664	0.5903
5663	0.5903
2711	0.5902
21249	0.5901
23179	0.5899
3404	0.5899
25552	0.5899
28814	0.5899
32975	0.5898
5619	0.5896
6573	0.5895
24450	0.5895
23933	0.5895
33864	0.5894
38649	0.5894
39293	0.5894
37430	0.5894
20280	0.5894
10081	0.5893
2757	0.5892
40207	0.5891
8005	0.5889
5711	0.5889
17990	0.5886
19920	0.5883
17555	0.5882
11580	0.5879
19443	0.5878
39409	0.5877
5528	0.5877
28723	0.5877
11108	0.5876
37617	0.5874
30630	0.5873
13564	0.5873
21777	0.5873
35583	0.5871
38201	0.5869
6998	0.5868
8903	0.5867
11091	0.5865
11626	0.5864
19009	0.5860
13539	0.5859
28940	0.5859
30382	0.5859
28263	0.5858
33332	0.5858
14845	0.5858
28631	0.5857
15157	0.5857
3870	0.5854
13247	0.5854
6218	0.5854
35540	0.5853
34714	0.5853
4491	0.5852
36041	0.5852
16113	0.5851
21696	0.5850
35969	0.5849
30687	0.5848
12882	0.5848
27950	0.5848
12773	0.5847
40080	0.5847
21609	0.5847
25648	0.5846
28949	0.5846
25554	0.5844
22277	0.5843
12801	0.5843
14165	0.5843
21639	0.5843
24080	0.5842
33723	0.5842
25846	0.5841
32980	0.5841
19472	0.5840
33503	0.5840
1191	0.5840
33153	0.5840
39566	0.5839
26521	0.5839
4837	0.5839
5907	0.5839
5926	0.5838
12493	0.5838
38171	0.5838
9773	0.5836
25135	0.5836
17250	0.5835
1707	0.5834
37991	0.5833
23647	0.5833
14733	0.5830
23332	0.5828
20775	0.5828
36553	0.5823
12839	0.5822
8535	0.5820
2345	0.5819
38401	0.5818
11518	0.5817
24309	0.5817
2940	0.5816
40376	0.5815
7169	0.5814
19209	0.5813
2992	0.5813
7943	0.5813
7696	0.5813
1289	0.5811
17244	0.5810
18936	0.5810
30148	0.5809
35089	0.5808
18840	0.5808
35975	0.5808
1346	0.5807
31588	0.5806
15765	0.5805
22138	0.5803
27187	0.5802
25592	0.5801
465	0.5801
28245	0.5800
36082	0.5799
32588	0.5799
7355	0.5796
3295	0.5794
5092	0.5793
13237	0.5793
6090	0.5791
12817	0.5788
26815	0.5788
40224	0.5786
36107	0.5784
10981	0.5782
21759	0.5782
35911	0.5781
1323	0.5780
23196	0.5778
15516	0.5778
13169	0.5777
32157	0.5773
15156	0.5773
24123	0.5773
25830	0.5773
24876	0.5772
28971	0.5771
23857	0.5770
860	0.5770
13500	0.5770
12735	0.5769
21610	0.5766
19958	0.5766
8904	0.5765
33602	0.5764
28859	0.5763
24086	0.5761
16980	0.5761
13959	0.5759
29570	0.5759
37060	0.5757
26715	0.5757
32658	0.5757
31500	0.5756
1673	0.5755
21748	0.5754
10293	0.5751
31107	0.5751
23192	0.5751
35790	0.5750
9427	0.5749
40515	0.5748
29630	0.5748
38955	0.5747
6658	0.5746
32902	0.5746
21351	0.5745
1517	0.5744
27337	0.5744
30075	0.5743
4454	0.5743
9126	0.5741
29074	0.5740
14433	0.5740
3336	0.5740
33445	0.5740
22300	0.5739
31666	0.5738
33712	0.5737
25281	0.5737
4670	0.5736
1013	0.5736
5560	0.5736
26796	0.5732
15910	0.5732
21945	0.5731
20357	0.5729
32453	0.5729
19570	0.5727
7008	0.5726
3235	0.5725
16915	0.5724
38622	0.5722
3055	0.5722
15132	0.5721
11444	0.5721
8724	0.5720
36400	0.5719
36074	0.5717
3565	0.5716
12884	0.5716
4699	0.5715
27627	0.5713
32570	0.5712
5962	0.5709
29994	0.5709
17783	0.5709
14915	0.5708
36926	0.5708
6079	0.5707
18944	0.5707
23496	0.5706
2798	0.5704
3385	0.5704
19379	0.5699
19194	0.5699
7172	0.5699
1692	0.5698
8891	0.5697
7432	0.5696
37780	0.5695
4806	0.5694
39985	0.5694
26331	0.5694
15081	0.5694
40301	0.5694
9438	0.5693
12498	0.5693
23713	0.5690
3029	0.5690
2058	0.5687
9703	0.5687
17268	0.5686
34450	0.5686
9723	0.5684
29325	0.5684
19862	0.5683
9265	0.5683
8950	0.5680
22620	0.5680
2991	0.5680
26612	0.5680
7779	0.5679
13058	0.5679
27387	0.5678
13149	0.5677
8935	0.5677
35197	0.5676
8401	0.5675
31217	0.5674
